"","lat","long"
"1",12.983300209,77.5832977295
"2",21.0333003998,105.849998474
"3",35.6899986267,139.690002441
"4",37.7312011719,-122.382598877
"5",37.7312011719,-122.382598877
"6",41.2028999329,-75.9027023315
"7",41.2028999329,-75.9027023315
"8",41.2028999329,-75.9027023315
"9",41.2028999329,-75.9027023315
"10",41.2028999329,-75.9027023315
"11",41.2028999329,-75.9027023315
"12",41.2028999329,-75.9027023315
"13",52.2797012329,4.75509977341
"14",41.8824996948,-87.6440963745
"15",35.6599998474,139.80670166
"16",30.6667003632,104.066703796
"17",24.9055995941,67.0821990967
"18",26.0613994598,119.306098938
"19",39.9289016724,116.388298035
"20",28.5499992371,115.933296204
"21",28.5499992371,115.933296204
"22",28.6667003632,77.2166976929
"23",37.5111999512,126.974098206
"24",37.5111999512,126.974098206
"25",37.5111999512,126.974098206
"26",37.5111999512,126.974098206
"27",37.5111999512,126.974098206
"28",37.5111999512,126.974098206
"29",35.1027984619,129.040298462
"30",35.1027984619,129.040298462
"31",39.9289016724,116.388298035
"32",37.4536018372,126.731697083
"33",32.0616989136,118.777801514
"34",30.2936000824,120.161399841
"35",30.5800991058,114.273399353
"36",34.6836013794,113.532501221
"37",30.6667003632,104.066703796
"38",31.0456008911,121.39969635
"39",37.5984992981,126.978302002
"40",36.6683006287,116.997200012
"41",36.7817001343,126.452201843
"42",35.6850013733,139.751403809
"43",22.2833003998,114.150001526
"44",38.4681015015,106.273101807
"45",34.8394012451,127.89440155
"46",34.9481010437,127.489501953
"47",39.8897018433,115.275001526
"48",23.5,121
"49",23.7000007629,90.375
"50",39.9289016724,116.388298035
"51",39.9289016724,116.388298035
"52",22.5333003998,114.133300781
"53",22.5333003998,114.133300781
"54",22.5333003998,114.133300781
"55",36.6683006287,116.997200012
"56",1.29309999943,103.855796814
"57",35.6850013733,139.751403809
"58",35.6850013733,139.751403809
"59",40.751701355,-73.9772033691
"60",40.751701355,-73.9772033691
"61",40.751701355,-73.9772033691
"62",40.751701355,-73.9772033691
"63",40.751701355,-73.9772033691
"64",40.751701355,-73.9772033691
"65",40.751701355,-73.9772033691
"66",38.4681015015,106.273101807
"67",38.4681015015,106.273101807
"68",38.4681015015,106.273101807
"69",42.2775993347,-83.7408981323
"70",42.2775993347,-83.7408981323
"71",45.3167991638,-73.8658981323
"72",45.3167991638,-73.8658981323
"73",45.3167991638,-73.8658981323
"74",52.3824005127,4.89949989319
"75",52.3824005127,4.89949989319
"76",33.081199646,-96.8133010864
"77",48.8582000732,2.33870005608
"78",48.8582000732,2.33870005608
"79",48.8582000732,2.33870005608
"80",40.8325996399,-74.1306991577
"81",51.5141983032,-0.0930999964476
"82",51.5141983032,-0.0930999964476
