"","SOURCE_IP","EXPORT_TIME","INTERFACE_ID","DESTINATION_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"229","191.101.167.73","2018-03-19","eni-d9305775","10.80.11.80",55367,3378,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Houston","29.8169994354,-95.5811004639","3","Malicious Host"
"230","191.96.112.115","2018-03-19","eni-e001f15b","10.80.2.149",57982,53413,17,"2018-02-24","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"231","192.241.241.50","2018-03-19","eni-4f4c1684","10.80.11.15",57817,102,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","New York","40.742099762,-74.0018005371","3","Malicious Host"
"232","194.28.112.48","2018-03-19","eni-2283e0ca","10.80.1.32",65533,3391,6,"2018-02-23","ACCEPT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"233","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3393,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"234","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3388,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"235","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3389,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"236","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3392,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"237","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3392,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"238","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3393,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"239","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3389,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"240","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3391,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"241","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3388,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"242","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3393,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"243","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3391,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"244","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3389,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"245","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3388,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"246","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3390,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"247","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3390,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"248","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3390,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"249","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3388,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"250","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3391,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"251","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3387,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"252","194.28.112.48","2018-03-19","eni-e001f15b","10.80.2.149",65534,3387,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"253","194.28.112.48","2018-03-19","eni-9815cf73","10.80.1.227",65534,3392,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"254","194.28.112.48","2018-03-19","eni-2283e0ca","10.80.1.32",65533,3392,6,"2018-02-23","ACCEPT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"255","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3387,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"256","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3392,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"257","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3387,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"258","194.28.112.48","2018-03-19","eni-e1fff024","10.83.5.39",65534,3392,6,"2018-02-23","ACCEPT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"259","194.28.112.48","2018-03-19","eni-69242a68","10.83.2.79",65534,3393,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"260","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3391,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"261","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3389,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"262","194.28.112.48","2018-03-19","eni-28fb6c93","10.83.1.30",65532,3390,6,"2018-02-23","REJECT",4,2,"Malicious Host","NL","Amsterdam","52.3555984497,4.91349983215","3","Malicious Host"
"263","195.3.146.96","2018-03-19","eni-6a5ddeb4","10.83.6.235",47221,3002,6,"2018-02-24","REJECT",4,2,"Malicious Host","LV","","57.0,25.0","3","Malicious Host"
